,d,indep,Linearity,log_n_components,log_hidden_size,value,Time
0,25,1,Non-linear,5.0,2.0,-1.4926873445510864,281.9727396965027
1,25,1,Non-linear,7.0,2.0,-1.0734323263168335,316.6212499141693
2,25,1,Non-linear,7.0,2.0,-1.0665631294250488,268.20935821533203
3,25,1,Non-linear,5.0,2.0,-1.5874567031860352,246.8331959247589
4,25,1,Non-linear,6.0,2.0,-1.2334115505218506,269.7158908843994
5,25,1,Non-linear,6.0,2.0,-0.4407885670661926,381.54693698883057
6,25,1,Non-linear,8.0,2.0,-0.41428542137145996,323.4657988548279
7,25,1,Non-linear,5.0,2.0,-1.079743504524231,251.56302499771118
8,25,1,Non-linear,7.0,2.0,-0.9477285146713257,304.7140278816223
9,25,0,Non-linear,4.0,2.0,0.7309841513633728,355.1911242008209
10,25,0,Non-linear,5.0,2.0,0.020768295973539352,298.08053612709045
11,25,0,Non-linear,5.0,2.0,0.03444671630859375,325.3027880191803
12,25,1,Non-linear,7.0,2.0,-1.081494927406311,299.7350769042969
13,25,1,Non-linear,5.0,2.0,0.03006610833108425,376.40552711486816
14,25,1,Non-linear,7.0,2.0,-0.944616973400116,279.95907497406006
15,25,1,Non-linear,8.0,2.0,-1.3593807220458984,334.69868183135986
16,25,0,Non-linear,8.0,2.0,0.9685342907905579,467.0065248012543
17,25,0,Non-linear,3.0,2.0,-2.026695966720581,308.2849910259247
18,25,0,Non-linear,4.0,2.0,-0.47520798444747925,268.43137979507446
19,25,0,Non-linear,6.0,2.0,-0.00815453939139843,324.23522686958313
20,25,1,Non-linear,7.0,2.0,-0.9166801571846008,273.6042847633362
21,25,1,Non-linear,3.0,2.0,-1.2370299100875854,295.00897693634033
22,25,1,Non-linear,7.0,2.0,1.454577088356018,568.3943989276886
23,25,1,Non-linear,7.0,2.0,-1.123800277709961,297.96481108665466
24,25,1,Non-linear,6.0,2.0,-1.3339868783950806,277.58856105804443
25,25,1,Non-linear,3.0,2.0,-1.0665594339370728,291.53378105163574
26,25,1,Non-linear,4.0,2.0,-1.2200437784194946,260.6053500175476
27,25,1,Non-linear,8.0,7.0,3.0532495975494385,660.2510569095612
28,25,1,Non-linear,8.0,2.0,6.4176530838012695,884.5101370811462
29,25,1,Non-linear,7.0,2.0,-0.9393534660339355,306.9466509819031
30,25,1,Non-linear,6.0,2.0,-0.6306930780410767,324.4586977958679
31,25,1,Non-linear,8.0,2.0,3.639561176300049,832.0885148048401
32,25,0,Non-linear,5.0,2.0,-0.4001528322696686,293.3754642009735
33,25,0,Non-linear,6.0,2.0,-0.6227239370346069,279.58011293411255
34,25,0,Non-linear,4.0,2.0,-0.46732115745544434,302.70137190818787
35,25,0,Non-linear,5.0,2.0,0.05227743834257126,304.7037880420685
36,25,0,Non-linear,4.0,2.0,-0.8519523739814758,277.9206738471985
37,25,0,Non-linear,3.0,2.0,-0.2885526120662689,294.9653980731964
38,50,1,Non-linear,7.0,2.0,-1.1299107074737549,271.7370219230652
39,50,1,Non-linear,6.0,2.0,-0.8969799280166626,272.92228507995605
40,50,1,Non-linear,5.0,2.0,-0.9690755605697632,280.657103061676
41,50,1,Non-linear,8.0,2.0,-1.2326297760009766,251.1347451210022
42,50,1,Non-linear,3.0,2.0,-0.8588722348213196,253.6875467300415
43,50,1,Non-linear,8.0,2.0,-1.1564222574234009,274.2974832057953
44,25,0,Non-linear,8.0,2.0,0.28740841150283813,350.35276985168457
45,25,0,Non-linear,6.0,2.0,0.10536779463291168,350.22347688674927
46,25,0,Non-linear,4.0,2.0,-0.07273568958044052,306.0095181465149
47,25,0,Non-linear,5.0,2.0,-0.39377841353416443,288.9462819099426
48,50,1,Non-linear,7.0,2.0,1.0423760414123535,446.1545090675354
49,50,1,Non-linear,5.0,2.0,-0.9273996353149414,272.4391129016876
50,50,1,Non-linear,8.0,2.0,-0.7610955834388733,281.9980990886688
51,50,1,Non-linear,5.0,2.0,-0.01224182266741991,321.17711114883423
52,25,0,Non-linear,5.0,2.0,-0.5677996277809143,273.13457894325256
53,25,0,Non-linear,6.0,2.0,2.683180332183838,638.909688949585
54,25,0,Non-linear,5.0,2.0,0.1904931515455246,324.52082991600037
55,25,0,Non-linear,4.0,2.0,-1.1129462718963623,288.349534034729
56,25,0,Non-linear,6.0,2.0,-1.5680186748504639,354.84070563316345
57,25,0,Non-linear,8.0,2.0,-0.03303530812263489,333.1608452796936
58,25,0,Non-linear,8.0,2.0,3.456531524658203,735.79407787323
59,25,0,Non-linear,5.0,2.0,-0.1945614069700241,347.13091921806335
60,50,1,Non-linear,6.0,2.0,-0.561888575553894,269.37575602531433
61,50,1,Non-linear,4.0,2.0,-0.7471325993537903,263.83188009262085
62,50,1,Non-linear,4.0,3.0,-0.6314460635185242,269.70287585258484
63,50,0,Non-linear,8.0,2.0,0.6296881437301636,372.4910089969635
64,50,0,Non-linear,5.0,2.0,-0.7601374387741089,263.927259683609
65,50,0,Non-linear,6.0,2.0,-0.08701405674219131,289.4042720794678
66,50,0,Non-linear,7.0,2.0,1.489208459854126,533.2319839000702
67,50,0,Non-linear,5.0,2.0,-2.108833074569702,292.3879511356354
68,50,0,Non-linear,4.0,2.0,-0.0960528701543808,281.41975593566895
69,50,0,Non-linear,5.0,2.0,0.1728929728269577,317.3038511276245
70,50,0,Non-linear,5.0,2.0,-1.7707805633544922,308.820924282074
71,50,0,Non-linear,6.0,2.0,-0.460906445980072,319.11940002441406
72,50,1,Non-linear,6.0,2.0,-0.6474011540412903,274.3166329860687
73,50,1,Non-linear,7.0,3.0,4.200287818908691,746.7114889621735
74,50,1,Non-linear,7.0,2.0,-1.3240482807159424,305.10146713256836
75,50,1,Non-linear,7.0,2.0,-1.0241504907608032,287.712660074234
76,50,1,Non-linear,4.0,2.0,-1.0736792087554932,246.4716100692749
77,50,1,Non-linear,3.0,2.0,3.076979637145996,622.2191557884216
78,50,1,Non-linear,6.0,2.0,-1.1569534540176392,308.77075386047363
79,50,1,Non-linear,4.0,3.0,-0.24300380051136017,415.03622794151306
80,50,1,Non-linear,4.0,2.0,-0.8103839159011841,285.37379145622253
81,50,1,Non-linear,5.0,2.0,-1.4363259077072144,289.80665397644043
82,50,1,Non-linear,7.0,2.0,6.348176002502441,875.176186800003
